Date,US Institutional,US Individual
6/1/07,71.97,66.45
5/1/07,75,67.79
4/1/07,79.35,69.13
3/1/07,82.42,73.64
2/1/07,80.21,76.64
1/1/07,76.92,78.1
12/1/06,75.76,73.78
11/1/06,77.14,73.33
10/1/06,77.12,71.54
9/1/06,75.45,69.23
8/1/06,79.63,69.49
7/1/06,84.78,67.21
6/1/06,87.67,69
5/1/06,87.69,68.57
4/1/06,88.76,70.97
3/1/06,85.19,68.31
2/1/06,81.9,65.38
1/1/06,79.17,67.46
12/1/05,79.07,64.93
11/1/05,76.09,66.15
10/1/05,72.79,64.03
9/1/05,73.97,64.79
8/1/05,74.68,66.25
7/1/05,73.97,65.63
6/1/05,72.39,66.88
5/1/05,75.81,65.63
4/1/05,75.54,61.68
3/1/05,74.8,61.96
2/1/05,75.45,60.45
1/1/05,74.26,61.43
12/1/04,70.69,64.03
11/1/04,69.09,63.04
10/1/04,66,65.35
9/1/04,66.35,65.87
8/1/04,66.67,64.85
7/1/04,68.18,59.04
6/1/04,70.23,59.77
5/1/04,67.19,60.76
4/1/04,70.8,64.2
3/1/04,74.11,65.03
2/1/04,74.77,66.45
1/1/04,76.03,72.37
12/1/03,78.69,69.29
11/1/03,78.99,67.83
10/1/03,79.85,65.19
9/1/03,76.8,66.43
8/1/03,76,68.99
7/1/03,76.64,66.24
6/1/03,74.6,69.83
5/1/03,75.94,72.04
4/1/03,72.93,76.28
3/1/03,71.74,74.86
2/1/03,69.09,75.93
1/1/03,66.09,78.92
12/1/02,63.64,78.23
11/1/02,65.05,76.3
10/1/02,60.75,73.05
9/1/02,57.41,70.99
8/1/02,57.58,65.03
7/1/02,57.73,57.69
6/1/02,55.86,56.57
5/1/02,49.21,57.21
4/1/02,44.7,57.33
3/1/02,50.37,58.45
2/1/02,48.41,58.12
1/1/02,46.43,62.26
12/1/01,50.82,61.48
11/1/01,54.72,60
10/1/01,60,60.42
9/1/01,58.51,57.55
8/1/01,58.89,58.06
7/1/01,58.62,56.98
4/1/01,58.93,59.76
10/1/00,53.57,55.77
4/1/00,31.03,27.68
10/1/99,28.79,34.83
4/1/99,33.04,31.61
