Date,DJI_close,DJI_pct,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2010-10-01,10829.6796875,0.003858888637537694,72.86,77.53,72.25,67.68,33.52,28.83
2010-11-01,11124.6201171875,0.0005513233076868129,76.47,76.0,72.25,68.69,31.63,26.67
2010-12-01,11255.7802734375,0.02269310366734678,77.5,77.46,74.74,67.58,32.84,25.73
2011-02-01,12040.16015625,0.012464795255711092,80.58,80.95,73.84,67.86,33.47,28.05
2011-03-01,12058.01953125,-0.013767023872319761,81.43,79.08,73.54,66.8,34.93,27.97
2011-04-01,12376.7197265625,0.00462585264808002,82.88,76.11,73.04,63.92,35.43,27.9
2011-06-01,12290.1396484375,-0.022247817167665107,81.75,79.13,72.22,64.75,36.19,28.37
2011-07-01,12582.76953125,0.013567349502261017,80.57,78.4,73.05,64.58,35.48,27.97
2011-08-01,12132.490234375,-0.0008852661886379343,80.89,74.59,74.82,61.75,33.57,25.54
2011-09-01,11493.5703125,-0.010329327785184583,77.89,73.17,75.66,63.87,26.84,21.18
2011-11-01,11657.9599609375,-0.024847307573233945,76.79,75.9,80.09,69.11,24.17,16.91
2011-12-01,12020.0302734375,-0.002129345518718795,77.2,73.6,82.7,70.09,22.03,18.43
2012-02-01,12716.4599609375,0.006613662541260501,78.97,77.54,80.88,71.48,24.5,24.75
2012-03-01,12980.2998046875,0.0021795351249951356,79.8,78.6,81.09,71.53,26.38,27.24
2012-05-01,13279.3203125,0.0049714143857582105,82.72,78.82,81.53,71.09,29.12,29.6
2012-06-01,12118.5703125,-0.02217944789227988,83.26,79.71,80.08,70.51,31.58,32.28
2012-08-01,12976.1298828125,-0.0025021605166262173,82.38,78.53,78.32,68.81,30.13,29.78
2012-10-01,13515.1103515625,0.005803357519803765,79.44,78.29,72.9,61.85,28.7,26.53
2012-11-01,13232.6201171875,0.010396714582117772,76.22,76.82,71.58,62.35,29.59,25.79
2013-02-01,14009.7900390625,0.010765058900600089,74.19,70.95,66.48,61.54,30.65,22.12
2013-03-01,14089.66015625,0.0025023975461579973,74.03,71.02,65.75,62.3,32.8,25.35
2013-04-01,14572.849609375,-0.0003903291874394199,75.37,71.79,66.45,63.86,33.75,27.27
2013-05-01,14700.9501953125,-0.009356568902711304,77.14,68.67,64.71,60.99,35.8,29.0
2013-07-01,14974.9599609375,0.004383776444365495,79.26,76.8,66.47,58.13,38.98,35.14
2013-08-01,15628.01953125,0.008289245478491747,79.71,75.58,69.66,59.16,40.88,37.2
2013-10-01,15191.7001953125,0.004099909235152133,76.43,72.55,69.7,55.32,36.95,36.11
2013-11-01,15615.5498046875,0.0044899605800621245,77.42,74.37,68.02,52.91,37.5,36.48
2014-04-01,16532.609375,0.004554062852096141,87.5,75.69,66.49,48.95,41.03,37.74
2014-05-01,16558.869140625,-0.0013250657585527348,88.96,74.57,66.12,50.82,41.08,38.92
2014-07-01,16956.0703125,0.007694406839802825,85.99,71.18,65.96,45.99,36.13,32.52
2014-08-01,16493.369140625,-0.004222083602089977,81.87,70.49,66.2,47.8,34.25,34.22
2014-10-01,16804.7109375,-0.013975875447586605,77.87,61.94,63.27,45.1,29.61,31.33
2014-12-01,17776.80078125,-0.002885279334850943,69.12,67.74,63.35,46.33,28.14,35.94
2015-04-01,17698.1796875,-0.004384503305160714,68.84,72.63,57.71,48.22,35.2,37.44
